CASE_CODE_TYPE,CASE_CODE,CASE_CODE_TITLE,Hierarchy_level,Sort_sequence
Event,2430,"Pedestrian struck by vehicle on side of road, unspecified",4,134
Event,2431,Pedestrian struck by vehicle propelled by another vehicle on side of road,4,135
Event,2432,Pedestrian struck by forward-moving vehicle on side of road,4,136
Event,2433,Pedestrian struck by vehicle backing up on side of road,4,137
Event,2439,"Pedestrian struck by vehicle on side of road, n.e.c.",4,138
Event,244,Pedestrian struck by vehicle in nonroadway area ,3,139
Event,2440,"Pedestrian struck by vehicle in nonroadway area, unspecified",4,140
Event,2441,Pedestrian struck by vehicle propelled by another vehicle in  nonroadway area,4,141
Event,2442,Pedestrian struck by forward-moving vehicle in nonroadway area,4,142
Event,2443,Pedestrian struck by vehicle backing up in nonroadway area,4,143
Event,2449,"Pedestrian struck by vehicle in nonroadway area, n.e.c.",4,144
Event,249,"Pedestrian vehicular incident, n.e.c.",3,145
Event,25,Water vehicle incidents,2,146
Event,250,"Water vehicle incident, unspecified",3,147
Event,251,Water vehicle or propeller struck person,3,148
Event,252,Water vehicle collisions,3,149
Event,2520,"Water vehicle collision, unspecified",4,150
Event,2521,Collision between water vehicles,4,151
Event,2522,Collision between water vehicle and object,4,152
Event,2529,"Water vehicle collision, n.e.c.",4,153
Event,253,Explosion or fire on water vehicle,3,154
Event,254,Capsized or sinking water vehicle,3,155
Event,255,Fall or jump and struck by water vehicle,3,156
Event,256,Fall or jump from water vehicle,3,157
Event,257,Machinery or equipment incident on water vehicle,3,158
Event,258,Fall on water vehicle,3,159
Event,259,"Water vehicle incident, n.e.c.",3,160
Event,26,Roadway incidents involving motorized land vehicle,2,161
Event,260,"Roadway incident involving motorized land vehicle, unspecified",3,162
Event,261,Roadway collision with other vehicle,3,163
Event,2610,"Roadway collision with other vehicle, unspecified",4,164
Event,2611,Roadway collision--moving in same direction,4,165
Event,2612,"Roadway collision--moving in opposite directions, oncoming",4,166
Event,2613,Roadway collision--moving perpendicularly ,4,167
Event,2614,Roadway collision--moving and standing vehicle in roadway,4,168
Event,2615,Roadway collision--moving and standing vehicle on side of roadway,4,169
Event,2619,"Roadway collision with other vehicle, n.e.c.",4,170
Event,262,Roadway collision with object other than vehicle,3,171
Event,2620,"Roadway collision with object other than vehicle, unspecified",4,172
Event,2621,Vehicle struck object or animal in roadway,4,173
Event,2622,Vehicle struck object or animal on side of roadway,4,174
Event,2623,Vehicle struck by falling or flying object--roadway,4,175
Event,2629,"Roadway collision with object other than vehicle, n.e.c.",4,176
Event,263,Roadway noncollision incident,3,177
Event,2630,"Roadway noncollision incident, unspecified",4,178
Event,2631,"Jack-knifed or overturned, roadway",4,179
Event,2632,Ran off roadway,4,180
Event,2633,"Struck by shifting load during transport, roadway",4,181
Event,2634,"Fall or jump from and struck by same vehicle in normal operation, roadway",4,182
Event,2635,"Fall or jump from and struck by another vehicle in normal operation, roadway",4,183
Event,2636,"Fall or jump from vehicle in normal operation, roadway",4,184
Event,2637,"Sudden start or stop, roadway",4,185
Event,2638,"Struck bump, hole, or rough terrain in road surface",4,186
Event,2639,"Roadway noncollision incident, n.e.c.",4,187
Event,269,"Roadway incident involving motorized land vehicle, n.e.c.",3,188
Event,27,Nonroadway incidents involving motorized land vehicles ,2,189
Event,270,"Nonroadway incident involving motorized land vehicle, unspecified",3,190
Event,271,Nonroadway collision with other vehicle,3,191
Event,2710,"Nonroadway collision with other vehicle, unspecified",4,192
Event,2711,"Moving in same direction, nonroadway",4,193
Event,2712,"Moving in opposite directions, oncoming, nonroadway",4,194
Event,2713,"Collision between a moving and standing vehicle, nonroadway",4,195
Event,2719,"Nonroadway collision with other vehicle, n.e.c.",4,196
Event,272,Nonroadway collisions with object other than vehicle,3,197
Event,2720,"Nonroadway collision with object other than vehicle, unspecified",4,198
Event,2721,Part of occupant?s body caught between vehicle and other object in nonroadway transport incident,4,199
Event,2729,"Nonroadway collision with object other than vehicle, n.e.c.",4,200
Event,273,Nonroadway noncollision incident,3,201
Event,2730,"Nonroadway noncollision incident, unspecified",4,202
Event,2731,"Jack-knifed or overturned, nonroadway",4,203
Event,2732,"Ran off driving surface, nonroadway",4,204
Event,2733,"Struck by shifting load during transport, nonroadway",4,205
Event,2734,"Fall or jump from and struck by same vehicle in normal operation, nonroadway",4,206
Event,2735,"Fall or jump from and struck by another vehicle in normal operation, nonroadway",4,207
Event,2736,"Fall or jump from vehicle in normal operation, nonroadway",4,208
Event,2737,"Sudden start or stop, nonroadway",4,209
Event,2738,"Struck bump, hole, rough terrain on driving surface, nonroadway",4,210
Event,2739,"Nonroadway noncollision incident, n.e.c.",4,211
Event,279,"Nonroadway incident involving motorized land vehicle, n.e.c.",3,212
Event,29,"Transportation incident, n.e.c.",2,213
Event,3,FIRES AND EXPLOSIONS,1,214
Event,30,"Fire or explosion, unspecified ",2,215
Event,31,Fires,2,216
Event,310,"Fire, unspecified",3,217
Event,311,"Collapsing building, structure, or structural element during fire",3,218
Event,312,Other structural fire without collapse  ,3,219
Event,313,Vehicle or machinery fire,3,220
Event,314,Ignition of clothing from controlled heat source,3,221
Event,315,Small-scale (limited) fire ,3,222
Event,316,Forest or brush fire,3,223
Event,317,"Ignition of vapors, gases, or liquids",3,224
Event,319,"Nonstructural fire, n.e.c.",3,225
Event,32,Explosions,2,226
Event,320,"Explosion, unspecified",3,227
Event,321,Dust explosion,3,228
Event,322,"Explosion of nonpressurized vapors, gases, or liquids",3,229
Event,323,"Explosion of pressure vessel, piping, or tire",3,230
Event,324,Demolition or blasting explosion ,3,231
Event,329,"Explosion, n.e.c.",3,232
Event,4,"FALLS, SLIPS, TRIPS",1,233
Event,40,"Fall, slip, trip, unspecified ",2,234
Event,41,Slip or trip without fall,2,235
Event,410,"Slip or trip without fall, unspecified",3,236
Event,411,Slip without fall,3,237
Event,4110,"Slip without fall, unspecified",4,238
Event,4111,Slip on substance without fall,4,239
Event,4112,Slip on vehicle without fall--nontransport  ,4,240
Event,4119,"Slip without fall, n.e.c. ",4,241
Event,412,Trip without fall,3,242
Event,4120,"Trip without fall, unspecified",4,243
Event,4121,Trip from stepping into a hole without fall ,4,244
Event,4122,Trip on uneven surface without fall,4,245
Event,4123,Trip over an object without fall,4,246
Event,4124,Trip on vehicle without fall--nontransport ,4,247
Event,4125,Trip over self without fall,4,248
Event,4129,"Trip without fall, n.e.c.",4,249
Event,419,"Slip or trip without fall, n.e.c.",3,250
Event,42,Falls on same level ,2,251
Event,420,"Fall on same level, unspecified",3,252
Event,421,Fall on same level due to tripping,3,253
Event,4210,"Fall on same level due to tripping, unspecified",4,254
Event,4211,"Fall on same level while climbing stairs, steps, or curbs ",4,255
Event,4212,Fall on same level due to tripping on uneven surface,4,256
Event,4213,Fall on same level due to tripping over an object ,4,257
Event,4214,Fall on same level due to tripping over self,4,258
Event,4219,"Fall on same level due to tripping, n.e.c.",4,259
Event,422,Fall on same level due to slipping ,3,260
Event,423,Fall while sitting,3,261
Event,424,"Fall onto or against object on same level, n.e.c.",3,262
Event,429,"Fall on same level, n.e.c. ",3,263
Event,43,Falls to lower level,2,264
Event,430,"Fall to lower level, unspecified",3,265
Event,431,Fall from collapsing structure or equipment,3,266
Event,4310,"Fall from collapsing structure or equipment, unspecified",4,267
Event,4311,Fall from collapsing structure or equipment less than 6 feet,4,268
Event,4312,Fall from collapsing structure or equipment 6 to 10 feet,4,269
Event,4313,Fall from collapsing structure or equipment 11 to 15 feet ,4,270
Event,4314,Fall from collapsing structure or equipment 16 to 20 feet,4,271
Event,4315,Fall from collapsing structure or equipment 21 to 25 feet ,4,272
Event,4316,Fall from collapsing structure or equipment 26 to 30 feet,4,273
Event,4317,Fall from collapsing structure or equipment more than 30 feet,4,274
Event,432,Fall through surface or existing opening,3,275
Event,4320,"Fall through surface or existing opening, unspecified",4,276
Event,4321,Fall through surface or existing opening less than 6 feet,4,277
Event,4322,Fall through surface or existing opening 6 to 10 feet,4,278
Event,4323,Fall through surface or existing opening 11 to 15 feet ,4,279
Event,4324,Fall through surface or existing opening 16 to 20 feet,4,280
Event,4325,Fall through surface or existing opening 21 to 25 feet ,4,281
Event,4326,Fall through surface or existing opening 26 to 30 feet,4,282
Event,4327,Fall through surface or existing opening more than 30 feet,4,283
Event,433,Other fall to lower level,3,284
Event,4330,"Other fall to lower level, unspecified",4,285
Event,4331,Other fall to lower level less than 6 feet,4,286
Event,4332,Other fall to lower level 6 to 10 feet,4,287
Event,4333,Other fall to lower level 11 to 15 feet ,4,288
Event,4334,Other fall to lower level 16 to 20 feet,4,289
Event,4335,Other fall to lower level 21 to 25 feet ,4,290
Event,4336,Other fall to lower level 26 to 30 feet,4,291
Event,4337,Other fall to lower level more than 30 feet,4,292
Event,44,Jumps to lower level,2,293
Event,440,"Jump to lower level, unspecified",3,294
Event,441,Jump from collapsing structure or equipment,3,295
Event,4410,"Jump from collapsing structure or equipment, unspecified",4,296
Event,4411,Jump from collapsing structure or equipment less than 6 feet,4,297
Event,4412,Jump from collapsing structure or equipment 6 to 10 feet,4,298
Event,4413,Jump from collapsing structure or equipment 11 to 15 feet ,4,299
Event,4414,Jump from collapsing structure or equipment 16 to 20 feet,4,300
Event,4415,Jump from collapsing structure or equipment 21 to 25 feet ,4,301
Event,4416,Jump from collapsing structure or equipment 26 to 30 feet,4,302
Event,4417,Jump from collapsing structure or equipment more than 30 feet,4,303
Event,442,Other jump to lower level,3,304
Event,4420,"Other jump to lower level, unspecified",4,305
Event,4421,Other jump to lower level less than 6 feet,4,306
Event,4422,Other jump to lower level 6 to 10 feet,4,307
Event,4423,Other jump to lower level 11 to 15 feet ,4,308
Event,4424,Other jump to lower level 16 to 20 feet,4,309
Event,4425,Other jump to lower level 21 to 25 feet ,4,310
Event,4426,Other jump to lower level 26 to 30 feet,4,311
Event,4427,Other jump to lower level more than 30 feet,4,312
Event,45,Fall or jump curtailed by personal fall arrest system ,2,313
Event,49,"Fall, slip, trip, n.e.c.",2,314
Event,5,EXPOSURE TO HARMFUL SUBSTANCES OR ENVIRONMENTS,1,315
Event,50,"Exposure to harmful substances or environments, unspecified",2,316
Event,51,Exposure to electricity,2,317
Event,510,"Exposure to electricity, unspecified",3,318
Event,511,Direct exposure to electricity,3,319
Event,5110,"Direct exposure to electricity, unspecified",4,320
Event,5111,"Direct exposure to electricity, 220 volts or less",4,321
Event,5112,"Direct exposure to electricity, greater than 220 volts",4,322
Event,512,Indirect exposure to electricity,3,323
Event,5120,"Indirect exposure to electricity, unspecified",4,324
Event,5121,"Indirect exposure to electricity, 220 volts or less",4,325
Event,5122,"Indirect exposure to electricity, greater than 220 volts",4,326
Event,52,Exposure to radiation and noise,2,327
Event,520,"Exposure to radiation and noise, unspecified",3,328
Event,521,Exposure to light and other radiation,3,329
Event,5210,"Exposure to light and other radiation, unspecified",4,330
Event,5211,Exposure to light ,4,331
Event,5212,Exposure to other radiation,4,332
Event,522,Exposure to noise,3,333
Event,5220,"Exposure to noise, unspecified",4,334
Event,5221,"Single, brief exposure to noise",4,335
Event,5222,"Single, prolonged exposure to noise",4,336
Event,5223,Repeated exposure to noise,4,337
Event,5229,"Exposure to noise, n.e.c.",4,338
Event,53,Exposure to temperature extremes,2,339
Event,530,"Exposure to temperature extremes, unspecified",3,340
Event,531,Exposure to environmental heat,3,341
Event,532,Exposure to environmental cold,3,342
Event,533,Contact with hot objects or substances,3,343
Event,534,Contact with cold objects or substances,3,344
Event,54,Exposure to air and water pressure change,2,345
Event,540,"Exposure to air and water pressure change, unspecified",3,346
Event,541,Exposure to change in water pressure,3,347
Event,542,Exposure to change in air pressure ,3,348
Event,55,Exposure to other harmful substances,2,349
Event,550,"Exposure to other harmful substances, unspecified",3,350
Event,551,Nonmedical use of drugs or alcohol--unintentional overdose ,3,351
Event,552,Inhalation of harmful substance ,3,352
Event,5520,"Inhalation of harmful substance, unspecified",4,353
Event,5521,Inhalation of harmful substance--single episode ,4,354
Event,5522,Inhalation of harmful substance--multiple episodes,4,355
Event,553,Ingestion of harmful substance,3,356
Event,554,"Exposure to harmful substance through skin, eyes, or other exposed tissue",3,357
Event,5540,"Exposure to harmful substance through skin, eyes, or other exposed tissue, unspecified",4,358
Event,5541,Exposure through unintentional needlestick or sharp injury ,4,359
Event,5542,Exposure through medical injection ,4,360
Event,5543,Exposure through scratch or other open wound,4,361
Event,5544,"Exposure through intact skin, eyes, or other exposed tissue",4,362
Event,5548,"Multiple types of exposures through skin, eyes, or other exposed tissue",4,363
Event,5549,"Exposure through skin, eyes, or other exposed tissue, n.e.c.",4,364
Event,558,Exposure to other harmful substance--multiple routes of exposure,3,365
Event,559,"Exposure to other harmful substances, n.e.c.",3,366
Event,56,"Exposure to oxygen deficiency, n.e.c.",2,367
Event,560,"Exposure to oxygen deficiency, unspecified",3,368
Event,561,"Drowning, submersion, n.e.c.",3,369
Event,562,Choking on object or substance,3,370
Event,563,Depletion of oxygen,3,371
Event,569,"Other oxygen deficiency, n.e.c.",3,372
Event,57,"Exposure to traumatic or stressful event, n.e.c. ",2,373
Event,59,"Exposure to harmful substances or environments, n.e.c.",2,374
Event,6,CONTACT WITH OBJECTS AND EQUIPMENT,1,375
Event,60,"Contact with objects and equipment, unspecified",2,376
Event,61,Needlestick without exposure to harmful substance,2,377
Event,62,Struck by object or equipment,2,378
Event,620,"Struck by object or equipment, unspecified",3,379
Event,621,Struck by powered vehicle--nontransport,3,380
Event,6210,"Struck by powered vehicle--nontransport, unspecified",4,381
Event,6211,Caught between rolling powered vehicle and other object,4,382
Event,6212,Struck or run over by rolling powered vehicle,4,383
Event,6213,Struck by swinging part of powered vehicle,4,384
Event,6214,Struck by falling part of powered vehicle still attached,4,385
Event,6215,Struck by powered vehicle tipping over--nontransport,4,386
Event,6216,Struck by other falling powered vehicle,4,387
Event,6219,"Struck by powered vehicle--nontransport, n.e.c.",4,388
Event,622,Struck by rolling object or equipment--other than powered vehicle ,3,389
Event,6220,"Struck by rolling object or equipment--other than powered vehicle, unspecified",4,390
Event,6221,Struck by rolling object or equipment being pushed by injured worker,4,391
Event,6222,Struck by rolling object or equipment being pushed by another  person,4,392
Event,6223,Struck by object or equipment rolling freely,4,393
Event,6229,"Struck by rolling object or equipment--other than powered vehicle, n.e.c.",4,394
Event,623,Struck by falling object or equipment--other than powered vehicle ,3,395
Event,6230,"Struck by falling object or equipment, unspecified",4,396
Event,6231,Struck by object or equipment dropped by injured worker,4,397
Event,6232,Struck by object or equipment dropped by other person,4,398
Event,6233,Struck by object falling from vehicle or machinery--other than vehicle part,4,399
Event,6239,"Struck by falling object or equipment, n.e.c.",4,400
Event,624,Struck by discharged or flying object,3,401
Event,6240,"Struck by discharged or flying object, unspecified",4,402
Event,6241,"Struck by dislodged flying object, particle",4,403
Event,6242,Struck by discharged object or substance,4,404
Event,6243,Struck by thrown object--unintentional injury,4,405
Event,6249,"Struck by discharged or flying object, n.e.c.",4,406
Event,625,Injured by handheld object or equipment,3,407
Event,6250,"Injured by handheld object or equipment, unspecified",4,408
Event,6251,Injured by object breaking in hand ,4,409
Event,6252,Injured by slipping or swinging object held by injured worker,4,410
Event,6253,Injured by slipping or swinging object held by other person,4,411
Event,6259,"Injured by handheld object or equipment, n.e.c.",4,412
Event,626,"Struck by swinging or slipping object, other than handheld",3,413
Event,6260,"Struck by swinging or slipping object, other than handheld, unspecified  ",4,414
Event,6261,Struck by or caught in swinging door or gate,4,415
Event,6269,"Struck by swinging or slipping object, other than handheld, n.e.c.",4,416
Event,629,"Struck by object or equipment, n.e.c.",3,417
Event,63,Struck against object or equipment,2,418
Event,630,"Struck against object or equipment, unspecified",3,419
Event,631,Struck against moving object or equipment,3,420
Event,6310,"Struck against moving object or equipment, unspecified",4,421
Event,6311,Struck against moving part of machinery or equipment,4,422
Event,6312,Struck against object or equipment while moving it,4,423
Event,6319,"Struck against moving object or equipment, n.e.c.",4,424
Event,632,Struck against stationary object or equipment,3,425
Event,6320,"Struck against stationary object or equipment, unspecified",4,426
Event,6321,Stepped on object ,4,427
Event,6322,Struck against stationary object or equipment while rising,4,428
Event,6329,"Struck against stationary object or equipment, n.e.c.",4,429
Event,639,"Struck against object or equipment, n.e.c.",3,430
Event,64,Caught in or compressed by equipment or objects,2,431
Event,640,"Caught in or compressed by equipment or objects, unspecified",3,432
Event,641,Caught in running equipment or machinery,3,433
Event,6410,"Caught in running equipment or machinery, unspecified",4,434
Event,6411,"Caught in running equipment or machinery during maintenance, cleaning ",4,435
Event,6412,Caught in running equipment or machinery during regular operation,4,436
Event,6419,"Caught in running equipment or machinery, n.e.c.",4,437
Event,642,Compressed or pinched by shifting objects or equipment,3,438
Event,643,Compressed or pinched between two stationary objects,3,439
Event,644,Entangled in other object or equipment,3,440
Event,649,"Caught in or compressed by equipment or objects, n.e.c.",3,441
Event,65,"Struck, caught, or crushed in collapsing structure, equipment, or material",2,442
Event,650,"Struck, caught, or crushed in collapsing structure, equipment, or material, unspecified",3,443
Event,651,Excavation or trenching cave-in,3,444
Event,652,Mine collapse or cave-in,3,445
Event,653,Other cave-in,3,446
Event,654,Landslide,3,447
Event,655,"Struck, caught, or crushed in other collapsing structure or equipment",3,448
Event,656,Engulfment in other collapsing material,3,449
Event,659,"Struck, caught, or crushed in collapsing structure, equipment, or material, n.e.c.",3,450
Event,66,Rubbed or abraded by friction or pressure,2,451
Event,660,"Rubbed or abraded by friction or pressure, unspecified",3,452
Event,661,Rubbed or abraded by kneeling on surface,3,453
Event,662,Rubbed or abraded by objects being handled ,3,454
Event,663,Rubbed or abraded by foreign matter in eye,3,455
Event,664,"Rubbed or abraded by shoes, apparel, or accessories",3,456
Event,669,"Rubbed or abraded by friction or pressure, n.e.c.",3,457
Event,67,"Rubbed, abraded, or jarred by vibration",2,458
Event,670,"Rubbed, abraded, or jarred by vibration, unspecified",3,459
Event,671,"Rubbed, abraded, or jarred by vehicle or mobile equipment vibration",3,460
Event,672,"Rubbed, abraded, or jarred by other machine or equipment vibration",3,461
Event,679,"Rubbed, abraded, or jarred by vibration, n.e.c.",3,462
Event,69,"Contact with objects and equipment, n.e.c.",2,463
Event,7,OVEREXERTION AND BODILY REACTION,1,464
Event,70,"Overexertion and bodily reaction, unspecified",2,465
Event,71,Overexertion involving outside sources,2,466
Event,710,"Overexertion involving outside sources, unspecified",3,467
Event,711,"Overexertion in lifting, lowering",3,468
Event,7110,"Overexertion in lifting, lowering, unspecified",4,469
Event,7111,Overexertion in lifting--single episode,4,470
Event,7112,Overexertion in lifting--multiple episodes,4,471
Event,7113,Overexertion in lowering--single episode,4,472
Event,7114,Overexertion in lowering--multiple episodes,4,473
Event,712,"Overexertion in pushing, pulling, or turning",3,474
Event,7120,"Overexertion in pushing, pulling, or turning, unspecified",4,475
Event,7121,"Overexertion in pushing, pulling, or turning--single episode",4,476
Event,7122,"Overexertion in pushing, pulling, or turning--multiple episodes",4,477
Event,713,"Overexertion in holding, carrying, or wielding",3,478
Event,7130,"Overexertion in holding, carrying, or wielding, unspecified",4,479
Event,7131,"Overexertion in holding, carrying, or wielding--single episode",4,480
Event,7132,"Overexertion in holding, carrying, or wielding--multiple episodes",4,481
Event,714,"Overexertion in throwing, catching",3,482
Event,7140,"Overexertion in throwing, catching, unspecified",4,483
Event,7141,Overexertion in throwing--single episode,4,484
Event,7142,Overexertion in throwing--multiple episodes,4,485
Event,7143,Overexertion in catching--single episode,4,486
Event,7144,Overexertion in catching--multiple episodes,4,487
Event,718,Multiple types of overexertion involving outside sources,3,488
Event,719,"Overexertion involving outside sources, n.e.c.",3,489
Event,72,Repetitive motions involving microtasks,2,490
Event,720,"Repetitive motions involving microtasks, unspecified",3,491
Event,721,"Typing, key entry, texting, or mousing",3,492
Event,722,"Repetitive use of tools, instruments",3,493
Event,723,"Repetitive grasping, placing, or moving objects, except tools",3,494
Event,724,"Repetitive use of hands, not involving tools ",3,495
Event,728,Multiple types of repetitive motions,3,496
Event,729,"Repetitive motions involving microtasks, n.e.c.",3,497
Event,73,Other exertions or bodily reactions,2,498
Event,730,"Other exertions or bodily reactions, unspecified",3,499
Event,731,"Bending, crawling, reaching, twisting, climbing, stepping",3,500
Event,7310,"Bending, crawling, reaching, twisting, climbing, stepping, unspecified",4,501
Event,7311,"Bending, crawling, reaching, twisting--single episode",4,502
Event,7312,"Bending, crawling, reaching, twisting--repetitive or prolonged",4,503
Event,7313,Climbing or stepping up or down--single episode,4,504
Event,7314,Climbing or stepping up or down--repetitive or prolonged,4,505
